qid,arrival,start,finish,runtime,status
12102,5479.859,5500.2,5520.2,20.09,ok
11555,5390.532,5446.3,5530.0,83.63,ok
26294,5483.023,5508.5,5540.6,32.11,ok
11822,5487.35,5526.9,5558.3,31.47,ok
12950,5530.364,5547.2,5568.2,21.01,ok
9173,5508.483,5536.6,5579.6,42.98,ok
11512,5547.496,5558.3,5582.3,23.92,ok
14438,5549.702,5568.3,5583.4,15.13,ok
10538,5551.235,5586.1,5598.4,12.31,ok
25585,5566.047,5588.7,5605.3,16.63,ok
11028,5590.47,5605.3,5629.8,24.44,ok
25469,5597.278,5629.8,5648.7,18.9,ok
13216,5589.961,5598.4,5671.1,72.69,ok
12889,5599.392,5648.7,5672.9,24.21,ok
25409,5641.383,5672.9,5693.9,20.95,ok
19186,5635.449,5671.1,5715.9,44.8,ok
16494,5649.438,5693.9,5733.6,39.73,ok
26517,5675.963,5733.6,5735.7,2.12,ok
26201,5652.8,5715.9,5738.7,22.77,ok
25937,5707.331,5735.7,5754.6,18.9,ok
26425,5714.163,5738.7,5757.7,19.07,ok
25305,5724.614,5754.6,5765.7,11.11,ok
3924,5729.387,5757.7,5781.2,23.4,ok
6531,5732.083,5796.5,5817.7,21.26,ok
23470,5768.893,5857.5,5875.8,18.26,ok
15078,5812.179,5863.4,5876.2,12.81,ok
8793,5868.77,5899.2,5915.2,15.99,ok
11614,5566.65,5697.8,5925.7,227.9,ok
14075,5899.419,5929.6,5932.9,3.27,ok
11800,5863.524,5913.2,5950.1,36.82,ok
10948,5933.358,5939.4,5964.8,25.43,ok
26027,5923.882,5937.1,5965.6,28.51,ok
11399,5959.413,5976.1,6029.4,53.33,ok
10260,5955.578,5975.4,6041.5,66.15,ok
25746,5976.333,6029.4,6051.7,22.29,ok
25259,5934.532,5966.1,6061.6,95.5,ok
25712,6028.8,6061.6,6064.6,3.01,ok
17182,5993.165,6041.5,6093.4,51.89,ok
3609,5451.864,5619.1,6109.7,490.65,ok
18604,6000.762,6051.7,6111.1,59.37,ok
25324,6049.97,6109.7,6119.3,9.54,ok
26741,6042.443,6093.4,6122.7,29.34,ok
25788,6063.453,6122.7,6133.3,10.61,ok
5069,6054.577,6111.1,6143.4,32.25,ok
