qid,start,runtime,status
11063,133582.4,137.4,ok
12293,133327.4,401.56,ok
11518,133719.0,17.16,ok
13587,133729.3,10.04,ok
13063,133739.7,600,penalty
16299,133736.6,600,penalty
25415,133524.4,220.99,ok
16846,133745.9,2.59,ok
7559,133748.9,15.23,ok
11778,133764.5,17.78,ok
23615,133720.2,63.68,ok
6279,133804.7,600,penalty
8474,133784.7,49.94,ok
10316,133835.0,15.01,ok
25780,133850.3,3.21,ok
12467,133854.0,600,penalty
10563,133782.6,86.68,ok
25756,133870.6,14.77,ok
14507,133885.8,11.77,ok
25396,133897.9,34.65,ok
17190,133917.1,18.8,ok
12891,133933.0,13.97,ok
13808,133936.3,12.91,ok
9511,133947.5,5.21,ok
25487,133953.2,600,penalty
9210,133949.7,57.95,ok
16761,133869.6,153.19,ok
10821,134008.0,34.81,ok
25672,133804.7,239.5,ok
10872,134044.7,19.07,ok
11912,134032.8,41.81,ok
9669,134075.3,18.93,ok
25392,134043.2,600,penalty
21150,134023.1,106.93,ok
12735,134064.3,76.69,ok
15906,134130.4,24.53,ok
9012,134141.4,28.15,ok
14320,134169.9,600,penalty
16386,134239.0,20.19,ok
12280,134155.4,106.66,ok
5529,134172.7,600,penalty
16410,134262.5,58.68,ok
5365,134094.9,258.62,ok
14725,134259.6,95.26,ok
12533,134353.8,21.71,ok
8004,134355.3,31.25,ok
16547,134376.0,27.49,ok
25622,134321.6,87.89,ok
14160,134403.8,6.68,ok
13162,134411.0,21.08,ok
11028,134409.8,45.71,ok
15020,134455.9,2.56,ok
10526,134458.8,18.56,ok
12951,134477.8,18.02,ok
3955,134386.9,117.99,ok
14066,134496.2,10.0,ok
10407,134506.6,2.44,ok
13123,134432.5,600,penalty
11087,134359.6,600,penalty
25771,134509.4,600,penalty
17789,134505.3,54.47,ok
16462,134560.1,2.64,ok
13055,134563.1,1.82,ok
10601,134565.2,6.74,ok
19490,134576.8,6.46,ok
11895,134576.8,600,penalty
4412,134572.3,23.88,ok
7587,134584.0,23.78,ok
15217,134608.2,14.37,ok
8487,134651.5,600,penalty
6135,134623.0,74.52,ok
9447,134596.6,110.61,ok
23616,134707.7,30.94,ok
13114,134581.3,163.3,ok
25048,134739.1,600,penalty
7520,134745.0,600,penalty
9421,134697.9,600,penalty
14719,134815.7,92.91,ok
13877,134815.7,106.97,ok
5069,134909.1,19.21,ok
9553,134815.8,113.73,ok
5076,134929.9,3.03,ok
10688,134923.7,20.02,ok
15078,134928.8,15.01,ok
7254,134933.2,16.67,ok
14695,134944.5,20.26,ok
23340,134965.2,8.98,ok
25632,134974.6,600,penalty
8569,134950.2,31.48,ok
6289,134982.1,26.81,ok
17970,135009.5,8.34,ok
25419,135018.3,17.62,ok
7234,134715.2,340.85,ok
11982,135041.5,19.55,ok
10173,135056.5,10.19,ok
12545,135061.4,18.8,ok
25271,135080.7,6.56,ok
25736,135067.1,29.78,ok
7316,135087.6,600,penalty
9956,135097.4,30.57,ok
17697,135128.3,14.5,ok
25365,135167.1,600,penalty
10506,135143.2,39.31,ok
5254,135036.4,151.23,ok
10796,134944.1,247.67,ok
7502,135188.4,37.73,ok
23626,135182.9,49.26,ok
25526,135226.5,7.52,ok
15832,135232.5,4.49,ok
3752,135192.6,57.76,ok
12457,135237.4,21.72,ok
11069,135240.5,19.92,ok
19865,135250.7,600,penalty
25386,135261.7,15.9,ok
25564,135278.0,10.83,ok
8925,135289.2,13.44,ok
15954,135259.4,97.79,ok
13237,135329.5,40.04,ok
25282,135357.8,12.34,ok
9076,135370.4,4.82,ok
15728,135369.9,11.66,ok
12664,135375.7,21.85,ok
5310,135397.9,600,penalty
5119,135234.4,169.01,ok
25454,135404.0,9.35,ok
17332,135382.0,55.65,ok
25654,135438.1,36.74,ok
14194,135461.0,19.32,ok
11095,135475.2,8.01,ok
16751,135483.7,600,penalty
25362,135480.7,5.85,ok
14063,135413.8,84.09,ok
14996,135303.0,221.93,ok
11810,135498.6,26.4,ok
10644,135525.7,14.12,ok
18465,135525.7,600,penalty
11927,135546.9,600,penalty
19969,135540.4,600,penalty
15063,135486.9,114.8,ok
15888,135627.7,9.2,ok
25037,135637.2,3.5,ok
5244,135649.4,10.62,ok
19992,135660.2,37.65,ok
15828,135698.4,2.05,ok
11364,135700.9,29.27,ok
11039,135730.6,160.0,ok
4443,135641.1,286.63,ok
25704,135660.3,312.52,ok
10094,135928.2,44.78,ok
18934,135973.2,52.69,ok
7186,136026.8,6.66,ok
20270,135678.0,600,penalty
20789,135973.4,600,penalty
15326,136034.4,303.33,ok
9409,136338.2,3.09,ok
25519,135891.0,600,penalty
8334,137304.0,18.74,ok
16171,137304.1,19.45,ok
11325,137304.2,600,penalty
25375,137304.5,600,penalty
8053,137304.4,600,penalty
11355,137339.2,600,penalty
11227,137400.6,14.75,ok
16849,137400.8,27.76,ok
11959,137400.8,34.61,ok
25604,137435.9,600,penalty
10916,137400.8,600,penalty
11911,137415.7,600,penalty
25541,137428.9,600,penalty
19677,137497.9,600,penalty
13135,137498.2,600,penalty
25426,137498.2,600,penalty
15887,137498.2,600,penalty
11287,137570.6,600,penalty
14370,137570.6,600,penalty
25400,137571.2,600,penalty
13586,137571.4,600,penalty
15563,137643.6,8.58,ok
25617,137643.8,21.25,ok
15192,137643.8,21.44,ok
13813,137643.8,25.45,ok
25425,137665.7,26.6,ok
17163,137652.9,60.46,ok
25644,137692.7,20.63,ok
16435,137713.9,2.55,ok
16367,137665.5,64.96,ok
15567,137716.8,22.32,ok
6697,137739.4,600,penalty
25476,137730.9,600,penalty
6518,137713.9,48.34,ok
16373,137669.8,104.56,ok
17322,137762.6,38.79,ok
10646,137802.3,600,penalty
10091,137774.7,600,penalty
11740,137802.3,600,penalty
11474,137801.8,600,penalty
11479,137869.6,40.05,ok
18602,137869.3,59.3,ok
21454,137910.1,18.76,ok
14132,137929.0,27.46,ok
18926,137869.6,90.9,ok
13902,137956.9,14.15,ok
25329,137960.9,19.89,ok
11582,137971.4,27.64,ok
15178,137981.1,600,penalty
17966,137999.4,600,penalty
16510,137942.7,600,penalty
4601,137929.4,600,penalty
5543,138062.5,36.64,ok
25574,138064.5,36.69,ok
18664,138101.6,2.55,ok
12096,138099.5,13.49,ok
14936,138064.5,48.84,ok
11198,138104.5,14.36,ok
25678,138119.3,600,penalty
13503,138114.7,18.04,ok
10350,138133.2,8.53,ok
10993,138142.1,600,penalty
13899,138185.2,600,penalty
25508,138204.5,600,penalty
12839,138062.5,177.22,ok
15973,138240.2,3.29,ok
6066,138252.6,15.6,ok
11919,138271.6,21.46,ok
25641,138293.5,21.92,ok
13199,138315.9,20.65,ok
19727,138337.0,9.87,ok
25488,138347.3,14.91,ok
5055,138362.7,3.65,ok
25579,138113.4,278.62,ok
9057,138268.7,125.63,ok
25262,138392.4,28.28,ok
11796,138394.7,58.8,ok
12158,138421.1,44.99,ok
16563,138453.9,20.78,ok
16494,138466.5,33.41,ok
16586,138501.2,6.95,ok
25382,138475.1,56.65,ok
25437,138532.3,39.78,ok
5532,138508.6,68.16,ok
25335,138576.2,30.55,ok
15534,138607.2,9.71,ok
6765,138617.3,55.38,ok
25303,138577.1,109.04,ok
22018,138686.6,7.12,ok
25083,138694.2,4.84,ok
25745,138699.4,9.14,ok
14569,138673.1,37.4,ok
10088,138709.0,15.23,ok
25457,138243.9,515.66,ok
10808,138366.9,446.42,ok
13229,138724.6,90.68,ok
25223,138815.7,5.18,ok
12975,138760.0,62.65,ok
10199,138813.7,22.92,ok
12508,138710.8,142.84,ok
15396,138854.0,600,penalty
13423,138823.2,45.09,ok
25398,138868.8,5.43,ok
3609,138874.5,13.88,ok
11469,138821.3,68.3,ok
14770,138889.9,10.63,ok
25494,138888.9,13.5,ok
10446,138900.9,14.2,ok
25414,138919.6,11.67,ok
5888,138915.4,41.66,ok
14521,138837.0,167.78,ok
8812,139005.2,31.4,ok
19224,139037.0,600,penalty
9182,138902.8,169.7,ok
25690,139072.9,8.32,ok
14315,139104.4,600,penalty
12107,138957.5,194.5,ok
10119,139081.6,120.77,ok
6412,139202.8,600,penalty
13597,139152.5,600,penalty
8693,138931.6,291.09,ok
14471,139223.5,39.39,ok
12940,139263.2,36.51,ok
6917,139286.4,13.84,ok
12183,139300.9,13.48,ok
2895,139286.4,33.97,ok
5765,139315.4,13.16,ok
10125,139328.9,6.93,ok
25389,139320.9,15.34,ok
14099,139336.1,31.64,ok
17514,139368.3,21.74,ok
25703,139300.1,97.9,ok
10262,139168.2,239.09,ok
7164,139398.5,20.35,ok
15733,139419.2,9.26,ok
10368,139428.9,2.37,ok
9726,139431.7,2.6,ok
14830,139434.7,600,penalty
8953,139336.9,600,penalty
14239,139407.7,600,penalty
17391,139390.4,600,penalty
17919,139506.1,21.2,ok
25709,139506.1,27.47,ok
25770,139506.2,29.37,ok
22013,139534.1,600,penalty
14342,139527.7,600,penalty
10075,139507.1,600,penalty
12610,139536.1,600,penalty
18881,139597.6,15.09,ok
13995,139597.6,17.7,ok
3714,139597.8,30.4,ok
25486,139615.7,14.64,ok
8139,139629.0,13.34,ok
25304,139597.8,50.37,ok
4383,139631.1,20.32,ok
8706,139642.9,12.41,ok
17817,139648.7,15.47,ok
11726,139652.3,19.5,ok
25505,139613.6,71.28,ok
15024,139685.4,3.6,ok
19262,139672.3,600,penalty
10155,139664.7,600,penalty
9157,139689.4,600,penalty
25631,139655.7,600,penalty
7368,139756.6,28.13,ok
25545,139755.1,30.09,ok
8805,139785.1,11.45,ok
9855,139756.6,42.92,ok
14998,139786.1,17.42,ok
10361,139804.0,600,penalty
8624,139797.0,600,penalty
14183,139800.0,600,penalty
25436,139756.6,600,penalty
8334,139871.5,5.99,ok
25269,139877.9,4.25,ok
12889,139882.5,16.08,ok
25766,139898.9,15.6,ok
13406,139908.1,41.49,ok
20307,139866.5,149.29,ok
14371,140016.2,24.84,ok
14706,140041.4,10.43,ok
6553,140052.2,12.18,ok
25648,140064.8,20.76,ok
25317,139950.0,140.82,ok
12243,140085.9,10.35,ok
12860,140091.1,9.2,ok
12711,140096.6,12.61,ok
9202,139908.0,600,penalty
11236,140109.7,53.2,ok
13837,140163.2,4.06,ok
17018,140167.7,10.65,ok
25646,140216.8,600,penalty
6064,140100.8,131.29,ok
11547,140232.4,57.24,ok
12297,140178.8,153.18,ok
22566,140332.4,16.44,ok
10818,140349.2,2.91,ok
25623,139915.0,442.62,ok
25741,140290.1,75.57,ok
11266,140280.2,103.15,ok
10340,140366.1,57.82,ok
25658,140358.1,65.78,ok
15022,140424.3,3.78,ok
12764,140424.4,34.6,ok
13216,140383.7,88.12,ok
10759,140472.3,22.3,ok
7660,140495.1,12.18,ok
12190,140507.7,33.89,ok
11614,140352.4,214.05,ok
11082,140566.8,25.92,ok
9997,140593.1,4.08,ok
3676,140428.5,170.69,ok
8507,140599.6,9.24,ok
15014,140597.5,39.62,ok
11154,140609.3,47.55,ok
13380,140637.7,20.18,ok
11638,140657.3,64.82,ok
9117,140658.8,85.01,ok
7391,140722.6,30.36,ok
12142,140744.1,14.32,ok
12232,140758.7,3.22,ok
16447,140753.3,9.29,ok
25300,140762.6,19.47,ok
10170,140764.4,61.57,ok
23725,140782.5,51.92,ok
7777,140826.4,24.54,ok
11541,140834.8,20.81,ok
25753,140855.9,9.92,ok
5053,140866.3,5.11,ok
4690,140871.9,5.67,ok
25481,140878.1,12.14,ok
11753,140459.5,432.29,ok
11703,140542.0,350.12,ok
10754,140892.6,19.78,ok
11999,140912.7,2.14,ok
15092,140892.3,29.08,ok
10137,140915.3,21.07,ok
9814,140936.8,2.68,ok
15351,140890.6,62.77,ok
13626,140939.8,22.51,ok
10848,140962.6,2.02,ok
12518,140851.7,121.49,ok
12402,140921.7,70.68,ok
25446,140992.7,600,penalty
17471,140953.8,71.06,ok
10412,141025.2,12.62,ok
25144,141038.2,2.34,ok
25305,141040.9,7.36,ok
10439,140965.0,87.11,ok
8793,141052.5,20.61,ok
13486,141065.5,24.54,ok
13465,141090.4,600,penalty
14362,140973.5,131.19,ok
25523,141105.1,9.85,ok
12381,141073.5,61.94,ok
5646,141115.3,40.95,ok
19673,141157.7,18.32,ok
12125,141048.7,173.18,ok
18767,141156.6,67.22,ok
11437,141222.2,600,penalty
5080,141224.3,600,penalty
16032,141176.4,600,penalty
