qid,arrival,start,finish,runtime,status,slowdown_pred,raw_score,predicted_slowdown
20054,3601.227,3698.1,3717.7,19.62,ok,0.629,0.629,0.383
10543,3407.556,3597.3,3725.2,127.94,ok,1.055,1.055,0.399
11334,3566.475,3717.8,3738.2,20.47,ok,0.842,0.842,0.388
17922,3517.6,3627.2,3756.5,129.34,ok,0.768,0.768,0.438
26040,3547.666,3695.9,3767.8,71.9,ok,0.991,0.991,0.464
25714,3742.906,3756.6,3771.0,14.37,ok,0.11,0.11,0.103
26439,3641.74,3767.8,3791.5,23.71,ok,0.855,0.855,0.448
15906,3441.735,3738.3,3805.0,66.69,ok,1.879,1.879,0.41
8309,3672.297,3805.1,3820.3,15.23,ok,1.243,1.243,0.629
4693,3731.57,3791.6,3828.3,36.72,ok,0.968,0.968,0.712
26718,3771.976,3820.3,3837.8,17.47,ok,0.9,0.9,0.702
15150,3735.663,3771.0,3863.8,92.76,ok,0.933,0.933,0.778
13132,3594.124,3725.3,3877.8,152.56,ok,0.774,0.774,0.395
26720,3785.655,3863.8,3879.1,15.25,ok,0.799,24.402,16.344
23470,2996.487,3828.4,3898.8,70.37,ok,62.751,62.751,0.88
7787,3795.263,3884.9,3906.5,21.53,ok,0.572,24.328,15.93
9990,3831.965,3908.6,3937.4,28.8,ok,0.587,24.461,19.209
15010,3779.911,3875.3,3964.0,88.65,ok,0.758,24.584,18.268
26479,3839.165,3936.3,3964.1,27.84,ok,1.413,1.413,1.041
26022,3906.035,3970.7,4021.4,50.7,ok,0.18,0.18,0.18
18457,3945.451,3997.9,4027.9,29.98,ok,0.88,0.88,0.799
26373,3998.137,4043.8,4063.6,19.74,ok,0.867,0.867,0.769
4601,3947.926,4020.3,4064.7,44.44,ok,1.148,1.148,1.057
26614,4000.161,4050.4,4069.2,18.87,ok,1.261,1.261,1.094
25315,4050.599,4080.3,4103.8,23.52,ok,1.472,1.472,1.378
14738,4087.782,4103.8,4124.1,20.22,ok,2.176,2.307,2.124
10229,4058.238,4085.9,4130.0,44.05,ok,2.221,2.221,2.099
9953,4123.975,4124.1,4136.9,12.81,ok,2.285,2.285,2.284
7436,4126.542,4136.9,4153.8,16.92,ok,1.462,1.462,1.386
9614,4124.207,4130.0,4155.4,25.33,ok,0.661,0.661,0.642
7565,4056.651,4133.1,4224.4,91.28,ok,2.014,2.098,2.014
