query_order,qid,arrival_time_s,estimated_runtime_s
434,25505,10619.46,15.94
435,17793,10620.22,3.42
436,12829,10622.574,4.52
437,11614,10625.023,34.65
438,5780,10626.011,57.52
439,10569,10630.243,13.13
440,15093,10641.815,2.62
441,13808,10642.899,66.2
442,17163,10645.222,47.86
443,25642,10647.963,8.44
444,16434,10652.166,27.74
445,17471,10653.894,17.63
446,7205,10655.296,14.02
447,8706,10659.925,5.22
448,11928,10659.951,4.02
449,25397,10677.224,59.37
450,13837,10682.931,9.0
451,14308,10685.856,10.32
452,7356,10690.498,62.46
453,14160,10696.675,2.72
454,19605,10703.412,7.61
455,12959,10703.733,67.34
456,25441,10708.586,6.51
457,12878,10715.958,31.54
458,25737,10719.727,21.16
459,8218,10722.719,94.48
460,17832,10722.775,7.9
461,10189,10722.954,2.92
462,17990,10723.482,51.26
463,10866,10727.224,6.02
464,13237,10727.376,13.32
465,15679,10730.886,30.34
466,12077,10732.468,62.93
467,25496,10740.011,35.55
468,12846,10745.304,2.72
469,13406,10754.986,13.03
470,9593,10755.43,6.5
471,11719,10759.699,44.35
472,14677,10764.695,172.15
473,17966,10766.834,57.82
474,11855,10830.215,8.81
475,25562,10830.354,9.63
476,25765,10834.836,11.93
477,4383,10835.106,18.32
478,25714,10846.637,30.96
479,25666,10851.313,18.1
480,13276,10861.377,3.52
481,10818,10867.985,2.72
482,8053,10910.785,44.52
483,15409,10951.033,19.94
484,25342,10959.591,23.7
485,10128,10970.566,76.56
486,16206,10991.34,3.12
487,9956,11320.273,10.52
488,6388,11363.215,10.22
489,15077,11376.528,36.21
490,25457,11460.594,111.42
491,16846,11460.674,2.52
492,12839,11462.405,59.76
493,13593,11469.431,8.66
494,11883,11470.823,54.53
495,19262,11473.407,27.84
496,14553,11475.181,23.83
497,16563,11475.974,4.02
498,10334,11477.264,17.73
499,15243,11477.887,39.85
500,8004,11478.541,10.82
501,25372,11480.952,7.23
502,25315,11483.344,10.23
503,10867,12318.919,52.03
504,13790,12319.477,3.02
505,10122,12322.27,29.54
506,25426,12322.673,18.83
507,11100,12332.396,3.32
508,15338,12334.481,7.93
509,14716,12958.538,4.12
510,3969,14764.388,44.16
511,13423,14764.72,9.82
512,14018,14773.155,11.0
513,15906,14779.809,41.75
514,12137,14781.877,3.32
515,12381,14788.48,15.43
516,16233,14796.939,27.73
517,10350,14800.464,4.32
518,14471,14801.935,4.12
519,11052,14816.001,107.3
520,5055,14856.254,2.81
521,3836,14862.196,19.33
522,9076,14864.526,6.41
523,14996,14865.131,67.27
524,13813,14865.232,31.21
525,11912,14865.961,10.93
526,9968,14866.232,9.12
527,14998,14867.806,8.28
528,11895,14867.842,17.93
529,7368,14869.826,8.62
530,6251,14873.652,61.03
531,25354,14914.248,155.53
532,25631,14919.356,25.63
533,25478,14919.581,12.21
534,10993,14922.706,40.95
535,7609,14923.491,27.44
536,25356,14926.945,48.24
537,14129,14927.978,39.55
538,25262,14931.702,8.72
539,7391,14933.418,7.12
540,13479,14936.473,7.52
541,10371,14937.116,19.93
542,11287,14940.366,3.62
543,15204,14945.62,44.55
544,11582,14949.117,9.72
545,22566,14950.753,27.44
546,10335,14951.445,2.52
547,11584,14951.753,5.22
548,25403,14956.433,19.24
549,9012,14957.148,12.43
550,23782,14961.247,6.82
551,15178,14964.261,13.03
552,15534,14964.658,8.02
553,25746,14964.807,12.15
554,12891,14967.728,50.53
555,11345,14967.838,2.32
556,13826,14992.915,39.32
557,3030,14994.528,8.63
558,10407,15002.18,2.02
559,13092,15008.664,13.93
560,25361,15017.443,93.7
561,8614,15025.371,37.04
562,10506,15031.779,13.73
563,4443,15046.172,93.49
564,25715,15055.894,44.3
565,9511,15061.139,2.21
566,23703,15067.071,7.92
567,12158,15070.697,27.94
568,13922,15081.33,17.33
569,12237,15097.154,6.12
570,13133,15101.514,103.39
571,13009,15106.865,10.13
572,8730,15109.847,8.22
573,4412,15121.162,13.13
574,11039,15123.122,60.16
575,11123,15125.815,2.82
576,8334,15128.883,47.97
577,11417,15131.595,22.03
578,11007,15133.658,2.82
579,13360,15153.603,7.72
580,9410,15156.628,22.43
581,10094,15161.81,3.92
582,4464,15163.725,7.33
583,13404,15182.271,8.22
584,18926,15189.96,60.34
585,25628,15191.271,41.46
586,25310,15192.178,25.11
587,13199,15194.316,13.23
588,14313,15196.065,4.62
589,7164,15340.684,3.52
590,25294,15369.422,126.63
591,13995,15392.332,70.06
592,25507,15407.565,99.0
593,25263,15416.368,30.06
594,17213,15500.439,23.43
595,25377,15502.33,9.19
596,18656,15521.353,17.63
597,10695,15603.305,9.32
598,10914,15603.387,5.12
599,19969,15603.492,46.95
600,6066,15608.438,9.82
601,10109,15608.462,25.94
602,10688,15608.576,6.12
603,8693,15618.627,84.18
604,15887,15626.887,51.17
605,13364,15641.247,9.72
606,11355,15643.976,2.82
607,6135,15646.215,42.65
608,7011,15652.988,2.32
609,12533,15654.193,6.32
610,25334,15661.573,13.03
611,12181,15662.552,30.14
612,12889,15669.385,52.53
613,6412,15671.234,24.13
614,17870,15671.301,5.92
615,20054,15671.343,11.02
616,5460,15671.764,38.75
617,9210,15672.198,14.03
618,10755,15676.488,5.22
619,10361,15678.094,18.13
620,25097,15686.389,6.02
621,23189,15698.984,27.84
622,5887,15712.177,54.79
623,21150,15754.255,64.47
624,11182,15755.431,61.84
625,14809,15758.607,6.12
626,12511,15762.57,24.5
627,25552,15763.6,69.71
628,25134,15766.373,5.62
629,25688,15773.616,21.45
630,11968,15792.853,49.23
631,10754,15796.654,8.52
632,17322,15801.525,19.63
633,6697,15831.962,2.32
634,3487,15840.708,21.63
635,25741,15840.974,67.56
636,17168,15847.7,17.53
637,16435,15854.576,2.42
638,5529,15861.049,51.33
639,25396,15865.847,30.75
640,10548,15867.07,10.55
641,13540,15870.532,5.22
642,25446,15874.032,17.53
643,18881,15881.804,3.42
644,23340,15884.774,3.21
645,5114,15887.534,26.27
646,12305,15892.524,26.52
647,13321,15895.345,23.13
648,25523,15907.422,9.34
649,11696,15908.603,114.11
650,16740,15909.711,8.72
651,19673,15915.068,8.63
652,7255,15924.258,2.82
653,13210,15932.321,32.94
654,15828,15939.232,9.3
655,9814,15942.073,2.42
656,14610,15947.662,24.43
657,10031,15953.758,7.52
658,7034,15962.382,17.53
659,11796,15973.924,32.84
660,25559,16026.866,2.32
661,6409,16056.751,18.13
662,12269,16061.575,53.03
663,16510,16070.347,21.13
664,25519,16079.108,119.33
665,25648,16466.635,10.53
666,11804,16467.494,14.33
667,12526,16467.783,5.22
668,9594,16470.551,6.79
669,10137,16471.989,3.52
670,18767,16475.994,59.0
671,25388,16478.686,29.22
672,10501,16514.859,3.22
673,9822,16517.464,69.27
674,19224,16518.017,10.63
675,15563,16520.94,3.02
676,10705,16530.467,6.12
677,12760,16537.481,41.24
678,7502,16539.529,11.72
679,25526,16543.153,6.73
680,11949,16545.962,26.03
681,4883,16547.177,6.82
682,11518,16548.909,4.42
683,9182,16549.701,38.84
684,3955,16554.224,27.45
685,25492,16605.258,17.49
686,7674,17168.832,3.02
687,12735,17169.212,25.93
688,11063,17178.58,29.24
689,13902,17179.069,3.42
690,14790,17181.393,17.83
691,10563,17183.635,26.14
692,10893,17188.537,6.12
693,25375,17189.47,32.05
694,25392,17191.929,20.83
695,25437,17196.495,24.55
696,10532,17751.106,9.42
697,16171,17751.156,62.64
698,14972,17751.873,5.22
699,25658,17752.492,16.43
700,14063,17773.282,63.23
701,15217,17785.57,9.22
702,25398,17790.98,4.32
703,8507,17795.634,5.42
704,10861,17804.9,25.93
705,12019,17805.877,39.34
706,14839,17813.136,27.43
707,25499,17814.469,130.33
708,12646,17816.145,39.45
709,16373,17816.478,30.34
710,22838,17860.823,13.73
711,21454,17860.919,5.62
712,11364,17860.97,3.32
713,25651,17861.306,26.75
714,12280,17861.374,48.62
715,25689,17861.48,2.12
716,25433,17863.776,65.76
717,13114,17868.986,103.5
718,12530,17869.444,2.82
719,17536,17877.548,3.02
720,25564,17881.941,7.43
721,13805,17881.963,10.22
722,6518,17884.674,45.04
723,10644,17890.757,4.32
724,6607,17900.976,6.02
725,10555,17902.948,5.12
726,25345,17903.399,8.43
727,25553,17906.062,102.33
728,10678,17907.997,3.32
729,10091,17916.414,16.63
730,9202,17918.013,66.66
731,25579,17918.154,116.02
732,12462,17918.199,12.03
733,19571,17920.257,85.84
734,23895,17922.542,87.99
735,10187,17922.706,2.12
736,13899,17923.095,23.34
737,4722,17940.876,6.72
738,12402,17946.761,16.43
739,12711,17955.814,3.32
740,11198,17968.473,3.22
741,15728,17971.258,5.82
742,17697,17975.429,8.42
743,15396,17982.727,44.28
744,5053,18029.003,2.72
745,9409,18029.724,2.72
746,25435,18077.017,12.23
747,5365,18108.946,101.88
748,13509,18121.533,2.92
749,25570,18136.965,8.93
750,12142,18145.983,13.13
751,25494,18160.019,95.8
752,8277,18160.044,61.46
753,25745,18168.695,3.52
754,6373,18169.808,10.13
755,15092,18169.955,39.28
756,25269,18181.298,4.62
757,17970,18181.675,12.2
758,5957,18188.901,7.32
759,11798,18200.571,2.42
760,19186,18206.977,38.94
761,16410,18227.109,23.23
762,25400,18234.174,6.43
763,11325,18238.779,7.02
764,11236,18240.448,21.33
765,18294,18275.682,2.02
766,10646,18281.106,8.12
767,16606,18298.527,3.02
768,25644,18304.889,5.53
769,10803,18330.418,10.01
770,8147,18335.458,8.32
771,6294,18337.956,3.82
772,12575,18341.281,39.45
773,10549,18351.879,6.12
774,12545,18365.274,4.22
775,13465,18375.618,35.54
776,14199,18376.142,21.63
777,3609,18385.389,11.13
778,10173,18391.879,5.22
779,16751,18403.131,4.12
780,13614,18409.322,22.34
781,25246,18839.41,7.51
782,10001,18840.677,10.22
783,18038,18840.845,17.64
784,18706,18841.141,2.92
785,11769,18842.056,18.27
786,25780,18846.134,3.23
787,14342,18848.205,49.85
788,5076,18977.982,2.81
789,9414,18978.493,2.62
790,7226,18986.565,2.82
791,25771,18988.094,13.25
792,9997,18989.225,3.62
793,13352,18989.684,17.63
794,25329,18990.414,9.03
795,11038,18992.038,21.33
796,17297,18993.625,30.44
797,11911,18997.341,7.32
798,25718,19647.902,99.52
799,17162,19648.85,4.52
800,8060,19652.264,46.15
801,25593,19658.0,24.74
802,25617,19662.061,64.59
803,10073,19665.352,31.64
804,7399,20393.561,6.92
805,11726,20398.109,6.12
806,15326,20427.881,11.25
807,8078,20431.145,103.29
808,9972,20450.486,57.74
809,8805,20479.847,2.31
810,25367,20589.17,36.14
811,25750,20616.553,8.63
812,7306,20618.834,6.12
813,25690,20621.906,4.73
814,8198,20666.713,19.61
815,25471,20677.031,28.24
816,11112,20677.178,2.82
817,25604,20677.648,7.23
818,4886,20684.964,110.2
819,10119,20687.916,39.45
820,19490,20688.177,2.02
821,12805,20688.442,4.72
822,17987,20701.175,6.73
823,16177,20702.759,31.82
824,9117,20718.391,67.55
825,14468,20721.931,26.33
826,14549,20721.974,2.62
827,10606,20722.023,21.43
828,25144,20723.624,3.81
829,8812,20724.004,16.23
830,25464,20724.018,17.34
831,3752,20726.947,38.56
832,8953,20727.178,61.26
833,25335,20727.201,8.33
834,11638,20737.37,26.74
835,11069,20748.124,5.12
836,10446,20752.115,4.12
837,25702,20761.378,11.04
838,10829,20775.042,21.43
839,16858,20785.104,38.95
840,17331,20785.784,2.82
841,11474,20794.334,161.14
842,6765,20797.114,13.82
843,7802,20806.707,7.92
844,14719,20817.31,13.13
845,23616,20834.445,12.72
846,15192,20846.742,5.92
847,23626,20855.263,7.92
848,25683,20866.612,14.64
849,12909,20878.64,13.03
850,18664,20904.3,2.12
851,9421,20914.561,19.33
852,25680,20927.197,23.67
853,12689,20927.282,4.02
854,9862,20937.372,137.92
855,12940,20938.638,54.94
856,11542,20938.734,39.45
857,15888,20945.705,63.03
858,25370,20946.836,2.63
859,14706,20954.685,62.83
860,17125,20967.996,19.73
861,25395,20975.737,68.27
862,12245,20978.386,6.12
863,13541,20990.516,13.12
864,25582,20990.948,17.84
865,20270,21001.994,101.9
866,12243,21003.727,6.12
867,10618,21006.42,7.42
868,12951,21019.732,56.28
869,14770,21026.6,71.97
870,13546,21041.636,21.63
871,4618,21042.7,19.38
872,9651,21069.781,28.54
873,5244,21097.06,8.22
874,12457,21101.187,6.22
875,10543,21111.082,25.93
876,25766,21111.894,11.88
877,25748,21117.347,10.84
878,6289,21124.043,20.63
879,13615,21133.513,2.52
880,25481,21137.349,9.73
881,12346,21141.255,39.55
882,19677,21146.138,7.93
883,25488,21150.525,8.33
884,25366,21156.814,97.3
885,12975,21162.337,33.31
886,14409,21239.708,3.52
887,15973,21258.621,3.02
888,11787,21261.205,2.13
889,9920,21276.676,63.05
890,25632,21280.349,8.83
891,18457,21318.436,28.4
892,11830,21323.957,23.73
893,7393,21324.237,16.83
894,25278,21341.757,16.84
895,10682,21348.398,2.72
896,25379,21352.933,4.12
897,25476,21362.045,26.65
898,9398,21369.619,57.36
899,12950,21377.311,32.02
900,25434,21379.858,23.65
901,12232,21381.89,2.92
902,14066,21385.45,7.02
903,14315,21389.95,15.03
904,11778,21398.427,52.46
905,14222,21984.819,74.94
906,5888,21991.205,17.64
907,25355,21994.735,26.77
908,15776,22001.564,51.96
909,8793,22052.073,10.32
910,8569,22052.142,11.82
