qid,arrival,start,finish,runtime,status,predicted_slowdown
26276,3437.033,3552.3,3599.1,46.74,ok,2.592
17922,3284.712,3442.9,3601.0,158.09,ok,4.226
10601,3441.696,3556.4,3613.1,56.71,ok,2.992
7609,3315.677,3444.0,3618.1,174.13,ok,4.321
23711,3258.325,3387.8,3638.0,250.19,ok,4.031
7857,3461.157,3594.7,3638.3,43.64,ok,3.464
25834,3572.537,3618.4,3648.7,30.31,ok,4.846
23470,2996.487,3638.3,3687.2,48.93,ok,4.578
20054,3601.227,3613.4,3702.5,89.07,ok,4.659
5216,3378.651,3556.7,3713.9,157.2,ok,3.053
10543,3407.556,3599.4,3733.6,134.24,ok,4.282
25831,3556.54,3702.6,3735.6,32.96,ok,5.878
13012,3488.411,3638.5,3745.5,106.95,ok,9.552
11334,3566.475,3733.8,3768.9,35.1,ok,3.508
8309,3672.297,3735.7,3785.1,49.43,ok,3.966
26040,3547.666,3687.4,3800.6,113.14,ok,6.192
26439,3641.74,3745.6,3811.7,66.05,ok,5.308
4693,3731.57,3769.0,3827.3,58.27,ok,8.399
17922,3517.6,3648.9,3847.9,199.0,ok,8.803
13132,3594.124,3714.1,3861.1,147.04,ok,5.934
25714,3742.906,3811.8,3866.4,54.59,ok,8.298
26720,3785.655,3848.0,3881.1,33.05,ok,7.667
15150,3735.663,3825.6,3921.3,95.74,ok,6.628
7787,3795.263,3894.3,3933.4,39.03,ok,6.543
26479,3839.165,3922.3,3952.7,30.48,ok,7.763
15010,3779.911,3868.5,3967.0,98.5,ok,7.722
9990,3831.965,3938.7,4000.0,61.27,ok,7.644
26718,3771.976,3857.5,4001.5,143.97,ok,7.244
11844,3501.421,3709.3,4049.7,340.42,ok,3.194
18457,3945.451,4029.8,4074.5,44.73,ok,8.308
26614,4000.161,4047.4,4078.2,30.77,ok,6.562
26022,3906.035,4022.6,4087.2,64.61,ok,9.989
26373,3998.137,4053.9,4097.0,43.12,ok,9.389
25315,4050.599,4086.8,4125.9,39.09,ok,8.26
4601,3947.926,4078.9,4162.8,83.84,ok,9.782
10229,4058.238,4109.5,4163.7,54.19,ok,8.061
15906,3441.735,3754.3,4172.3,418.03,ok,5.033
9953,4123.975,4163.2,4215.9,52.71,ok,7.281
7436,4126.542,4200.1,4231.2,31.07,ok,6.425
7565,4056.651,4150.4,4233.7,83.33,ok,7.93
14738,4087.782,4161.2,4245.9,84.7,ok,5.703
9614,4124.207,4207.9,4255.5,47.6,ok,16.65
25435,4086.206,4158.3,4274.6,116.35,ok,8.113
11482,4210.997,4222.9,4278.2,55.38,ok,9.492
