qid,arrival,start,finish,runtime,status,predicted_slowdown
26414,5165.215,5178.5,5278.7,100.17,ok,0.424
13237,5192.131,5245.9,5278.7,32.89,ok,1.838
25577,5199.811,5272.2,5290.8,18.68,ok,0.954
12982,5126.364,5294.6,5309.6,14.97,ok,4.123
25279,5229.855,5284.9,5359.6,74.68,ok,0.97
14904,5199.689,5337.5,5363.6,26.1,ok,6.322
17034,5252.452,5351.5,5400.4,48.91,ok,2.199
12305,5343.192,5410.8,5429.0,18.24,ok,5.23
26240,5425.517,5444.2,5456.5,12.29,ok,1.318
26749,5306.97,5406.8,5490.8,84.0,ok,0.394
25977,5363.7,5430.5,5506.3,75.76,ok,0.463
26294,5483.023,5490.8,5518.0,27.19,ok,0.512
11555,5390.532,5440.7,5528.3,87.5,ok,0.818
11822,5487.35,5528.3,5555.5,27.18,ok,1.561
17332,5476.152,5506.3,5559.8,53.45,ok,2.543
12343,5447.942,5555.5,5575.1,19.58,ok,2.435
9173,5508.483,5518.0,5577.3,59.25,ok,0.404
14438,5549.702,5559.8,5580.8,21.05,ok,5.184
12102,5479.859,5580.8,5588.1,7.29,ok,6.513
12950,5530.364,5588.1,5589.3,1.17,ok,7.065
25585,5566.047,5577.3,5594.1,16.84,ok,1.522
11512,5547.496,5589.3,5622.8,33.44,ok,9.426
11028,5590.47,5622.8,5647.7,24.89,ok,1.582
13216,5589.961,5594.1,5648.0,53.81,ok,0.554
25469,5597.278,5647.7,5663.7,16.04,ok,1.419
12889,5599.392,5648.0,5685.2,37.24,ok,1.536
26517,5675.963,5685.2,5687.7,2.42,ok,0.067
16494,5649.438,5663.7,5709.7,45.97,ok,0.585
25409,5641.383,5709.7,5722.8,13.05,ok,1.422
19186,5635.449,5687.7,5727.2,39.57,ok,1.41
25937,5707.331,5722.8,5740.6,17.84,ok,1.385
26201,5652.8,5727.3,5756.3,29.08,ok,1.413
3924,5729.387,5740.6,5758.3,17.63,ok,0.651
26425,5714.163,5756.3,5770.8,14.48,ok,1.61
25305,5724.614,5758.3,5772.3,13.98,ok,1.385
10538,5551.235,5772.3,5774.7,2.45,ok,3.992
23470,5768.893,5812.1,5828.0,15.92,ok,73.022
15078,5812.179,5863.5,5864.5,0.98,ok,10.163
11800,5863.524,5864.5,5880.2,15.7,ok,1.309
8793,5868.77,5899.3,5909.3,9.99,ok,1.404
14075,5899.419,5923.8,5925.7,1.89,ok,5.013
11614,5566.65,5686.8,5939.7,252.82,ok,0.519
6531,5732.083,5882.6,5946.7,64.08,ok,1.371
10948,5933.358,5955.4,5960.8,5.47,ok,1.953
26027,5923.882,5939.7,5961.7,22.0,ok,1.061
11399,5959.413,5976.2,6029.4,53.24,ok,1.786
10260,5955.578,5975.3,6040.0,64.68,ok,1.022
25746,5976.333,6029.4,6051.9,22.46,ok,1.386
25324,6049.97,6051.9,6057.0,5.08,ok,0.685
25259,5934.532,5962.8,6063.3,100.44,ok,0.794
5069,6054.577,6057.0,6081.9,24.93,ok,0.699
25788,6063.453,6081.9,6088.4,6.47,ok,0.151
3609,5451.864,5591.4,6104.3,512.82,ok,0.832
25934,6056.556,6088.4,6116.6,28.17,ok,1.017
17182,5993.165,6040.0,6119.5,79.48,ok,1.106
18604,6000.762,6104.3,6148.7,44.45,ok,0.871
14451,6041.023,6063.3,6161.5,98.19,ok,0.575
25478,6135.025,6148.7,6166.9,18.19,ok,0.824
26673,6111.208,6116.6,6167.9,51.29,ok,0.539
24675,6144.59,6161.5,6182.4,20.92,ok,0.594
26245,6118.174,6119.5,6185.1,65.61,ok,0.822
25712,6028.8,6185.1,6190.7,5.59,ok,1.151
6388,6159.086,6166.9,6203.7,36.71,ok,0.791
26741,6042.443,6167.9,6214.0,46.07,ok,0.971
26426,6084.188,6182.4,6233.0,50.52,ok,0.842
8198,6095.944,6190.7,6241.9,51.2,ok,1.12
10073,6202.102,6241.9,6267.6,25.65,ok,1.308
7073,6208.064,6214.0,6278.3,64.26,ok,1.483
18656,6088.749,6203.7,6287.3,83.67,ok,0.204
26813,6237.838,6287.3,6312.3,24.98,ok,1.478
9547,6252.973,6267.6,6325.9,58.36,ok,0.886
16495,6222.191,6233.0,6328.1,95.09,ok,0.41
17471,6262.335,6278.3,6338.7,60.4,ok,1.03
22624,6298.024,6326.0,6356.0,30.07,ok,0.962
26668,6299.289,6364.2,6390.1,25.97,ok,2.142
26283,6387.707,6390.2,6414.4,24.25,ok,1.218
15326,6296.163,6381.5,6415.6,34.05,ok,3.063
26144,6383.692,6415.6,6424.4,8.8,ok,1.519
16115,6280.448,6353.6,6438.9,85.34,ok,0.846
22566,6399.275,6424.4,6453.5,29.02,ok,1.749
26353,6298.72,6337.8,6466.7,128.88,ok,0.282
10506,6413.611,6448.4,6480.2,31.82,ok,1.185
11964,6381.841,6466.2,6487.7,21.5,ok,4.302
11778,6458.362,6487.4,6510.4,23.03,ok,8.986
26214,6501.178,6520.5,6528.6,8.03,ok,1.066
5794,6406.656,6469.6,6576.9,107.32,ok,0.49
26520,6476.247,6525.9,6602.4,76.52,ok,1.124
9421,6487.901,6530.6,6615.1,84.47,ok,1.882
25824,6595.995,6602.4,6616.6,14.16,ok,1.541
25648,6610.338,6652.2,6670.1,17.95,ok,1.748
25470,6553.127,6650.6,6681.3,30.71,ok,2.242
26486,6652.305,6670.1,6682.9,12.8,ok,2.14
11439,6678.483,6681.4,6695.8,14.42,ok,0.547
18038,6569.086,6612.4,6703.4,90.94,ok,0.403
2895,6691.346,6695.8,6716.5,20.67,ok,0.811
15077,6674.808,6703.4,6724.2,20.78,ok,1.26
25752,6520.63,6621.7,6762.4,140.74,ok,1.27
14018,6687.306,6757.4,6765.7,8.27,ok,2.55
26243,6757.496,6795.7,6803.3,7.56,ok,2.163
14203,6799.159,6810.4,6833.6,23.16,ok,4.371
13640,6698.104,6790.1,6842.4,52.31,ok,0.539
11729,6657.227,6756.5,6873.7,117.14,ok,1.505
10322,6814.686,6842.4,6882.0,39.64,ok,1.324
26710,6764.364,6840.7,6926.4,85.78,ok,0.178
14319,6872.193,6932.9,6960.4,27.59,ok,2.224
9618,6916.835,6942.6,6965.7,23.12,ok,2.652
15474,6820.465,6884.4,6969.8,85.4,ok,0.778
7559,6947.928,6960.4,6976.2,15.73,ok,0.75
25885,6944.353,7009.9,7036.0,26.18,ok,1.552
15348,6815.623,6964.5,7047.7,83.18,ok,1.299
10795,6942.91,7016.2,7074.4,58.14,ok,0.842
26263,7016.387,7090.4,7101.7,11.32,ok,1.527
25464,7023.252,7064.2,7136.7,72.49,ok,0.698
26712,7113.853,7136.7,7139.6,2.86,ok,1.204
17970,7117.298,7139.6,7144.3,4.78,ok,3.706
17875,7017.166,7087.3,7156.8,69.44,ok,1.416
26637,7155.98,7168.2,7188.0,19.76,ok,1.734
26321,7143.861,7173.6,7198.7,25.14,ok,0.999
26165,7169.222,7194.2,7211.9,17.7,ok,0.902
6836,7198.355,7207.3,7228.8,21.45,ok,0.615
26368,7220.688,7244.0,7258.2,14.24,ok,1.882
26608,7244.001,7258.2,7271.5,13.23,ok,0.709
3955,6963.232,7086.9,7281.2,194.21,ok,0.283
5216,7090.657,7210.2,7343.9,133.7,ok,1.101
