qid,start,runtime,status
11069,8936.5,19.92,ok
19865,8946.7,600,penalty
25386,8957.7,15.9,ok
25564,8974.0,10.83,ok
8925,8985.2,13.44,ok
15954,8955.4,97.79,ok
13237,9025.5,40.04,ok
25282,9053.8,12.34,ok
9076,9066.4,4.82,ok
15728,9065.9,11.66,ok
12664,9071.7,21.85,ok
5310,9093.9,600,penalty
5119,8930.4,169.01,ok
25454,9100.0,9.35,ok
17332,9078.0,55.65,ok
25654,9134.1,36.74,ok
14194,9157.0,19.32,ok
11095,9171.2,8.01,ok
16751,9179.7,600,penalty
25362,9176.7,5.85,ok
14063,9109.8,84.09,ok
14996,8999.0,221.93,ok
11810,9194.6,26.4,ok
10644,9221.7,14.12,ok
18465,9221.7,600,penalty
11927,9242.9,600,penalty
19969,9236.4,600,penalty
15063,9182.9,114.8,ok
15888,9323.7,9.2,ok
25037,9333.2,3.5,ok
5244,9345.4,10.62,ok
19992,9356.2,37.65,ok
15828,9394.4,2.05,ok
11364,9396.9,29.27,ok
11039,9426.6,160.0,ok
4443,9337.1,286.63,ok
25704,9356.3,312.52,ok
10094,9624.2,44.78,ok
18934,9669.2,52.69,ok
7186,9722.8,6.66,ok
20270,9374.0,600,penalty
20789,9669.4,600,penalty
15326,9730.4,303.33,ok
9409,10034.2,3.09,ok
25519,9587.0,600,penalty
